"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Erudit","Abierto","Completo","Biblioteca Digital","Más información"
"Espacio I+D: Innovación más desarrollo. Revista digital de la Universidad Autónoma de Chiapas","Abierto","Completo","Artículos de Revistas","Más información"
"Estrategia Nacional para la Prevención del Embarazo en Adolescentes","Abierto","Completo","Documentos de Trabajo","Más información"
"Estudios Sociológicos","Cerrado","Parcial","Reseñas  , Revistas","301.05/M611e  Más información"
"Ethnic and racial studies","Cerrado","Parcial","Revistas","301.451/E841 Más información"
"Ethos","Cerrado","Completo","Revistas","136.4805/E841 Más información"
"FILOS  base de datos sobre filosofía en México","Cerrado","Referencia","Catálogos de Bibliotecas","Más información"
"Fuente académica","Cerrado","Completo","Revistas","Más información"
"Fuentes de información en ciencias sociales y humanidades","Abierto","Completo","Guías  , Bibliografía","REF/016.3/G2455f Más información"
"Gale Primary Sources","Cerrado","Completo","Periódicos  , Recursos Archivísticos","Más información"
"Girls’ and Women’s Right to Education","Abierto","Completo","Guías","Más información"
"Glosario de términos sobre violencia contra la mujer","Abierto","Completo","Diccionarios","Más información"
"Gómez Coutiño, José Francisco. Los dominicos en Chiapas y la construcción de la catedral de San Cristóbal de las Casas","Abierto","Completo","Documentos de Trabajo","Más información"
"Hemeroteca Digital de la Biblioteca Nacional de España","Cerrado","Parcial","Biblioteca Digital","Más información"
"HighWire press","Abierto","Parcial","Revistas  , Reseñas  , Artículos de Revistas","Más información"
"HLAS Handbook of Latin American Studies Online","Abierto","Referencia","Bibliografía","Más información"
"Humanities Text Initiative","Abierto","Completo","Biblioteca Digital","Más información"
"Índice de Revistas de Educación Superior e Investigación Educativa (IRESIE)","Cerrado","Completo","Artículos de Revistas","Más información"
"Índice Global de Impunidad de México","Abierto","Completo","Fuentes Primarias","Más información"
"Instituto Mexicano para la Competitividad A.C.","Abierto","Completo","Audio  , Centro de Investigación  , Documentos d...","Más información"
"International Development Research Centre","Cerrado","Parcial","Biblioteca Digital  , Centro de Investigación  ,...","Más información"
"International Society for the Sociology of Religion","Abierto","Parcial","Directorios  , Documentos de Trabajo","Más información"
"International Sociological Association","Abierto","Parcial","Organizaciones de Profesionales","Más información"
