Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"The National Library of Korea","no","N/A","http://www.nl.go.kr/english/index.jsp","N/A","Libro electrónico","Parcialmente Abierto","N/A","Otros","2010-00-00","Coreano  , Inglés","CEAA","Historia","N/A","Corea, Bibliotecas nacionales","Establecida en el año de 1945, la Biblioteca Nacional de Corea se localiza en Seúl, Corea del Sur.  La BNC es depositaria de la literatura nacional,  además de información digital. Esta biblioteca es pionera en los países asiáticos por sus colecciones digitales, pero sobre todo por los servicios y recursos que ofrecen en está área. La Biblioteca Digital de Corea es mejor conocida como “Dibrary” en una combinación de la palabra “digital” y “library”. Esta biblioteca se abrió al público en el año de 2009.","N/A","2014-10-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Networked Digital Library of Theses and Dissertations (NDLTD)","no","N/A","http://www.ndltd.org/about","N/A","Sitio Web  , Tesis","Abierto","N/A","Otros","N/A","Inglés","CEH","Historia","N/A","Tesis y disertaciones académicas ; Tesis y disertaciones electrónicas ; Bases de datos","“Organización internacional dedicada a promover la adopción, creación, uso, difusión y preservación de tesis y disertaciones electrónicas (ETDs)”. Ofrece una base de datos de tesis en diversas materias y procedentes de múltiples instituciones. Además, el sitio web incluye recursos para los administradores, bibliotecarios, profesores, estudiantes y el público en general relacionado con la gestión de tesis digitales.","N/A","2015-12-15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The new Palgrave dictionary of economics","si","N/A","N/A","N/A","Obra de referencia","Abierto","N/A","Otros","N/A","Inglés","CEE","Economía","N/A","Economía ; Obras de referencia","edited by Steven N. Durlauf and Lawrence E. Blume.  2nd ed..  New York, N.Y.: Palgrave Macmillan, 2008.  v. : il., gráf., tablas ; 25 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The New York Book Review","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=114423","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Libros ; Reseñas ; Revistas","Disponible en formato impreso: 1978-2007 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Nineteenth Century in Print","no","N/A","http://memory.loc.gov/ammem/ndlpcoop/moahtml/snchome.html","N/A","Periódico","Abierto","N/A","Otros","N/A","Inglés","CEH","Historia","N/A","Estados Unidos ; Historia ; Siglo XIX ; Revistas","Colección de revistas y libros publicados en Estados Unidos durante la segunda mitad del siglo XIX. Incluye fuentes de utilidad para estudios sobre ciencia y tecnología, educación, historia de Estados Unidos, historia social, religión y sociología, por mencionar algunos. Incluye un buscador por palabras clave y un índice de títulos para localizar revistas. Para el caso de los libros, se puede buscar por palabras clave, y en forma alfabética por autor, título y temas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Online Books Page","no","N/A","http://digital.library.upenn.edu/books/","N/A","Libro electrónico","Parcialmente Abierto","N/A","Otros","2014-10-03","Inglés","CEDUA  , CEE  , CEH  , CEI  , CELL  , CES  , General  , PIEM","Administración Pública  , Artes  , Bibliotecología  , Ciencia Política  , Demografía    , Economía   , Estudios de Género  , Estudios Urbanos   , Filosofía  , General (todos los centros)  , Historia  , Lenguaje y Lenguas (Estudio y enseñanza)  , Lingüística  , Literatura  , Medio Ambiente  , Relaciones Internacionales  , Religión  , Sociología  , Traducción","N/A","Ciencias Sociales ; Libros electrónicos","|Lista de más de un millón de libros gratuitos en la Web| Libros en línea de las áreas de las Ciencias Sociales y Humanidades. La búsqueda se puede hacer por título, autor y tema. En cuanto a la recuperación, se puede consultar el libro en texto completo, aunque no de todos pues para algunos se requiere clave de usuario. La página está a cargo de John Mark Ockerbloom y se actualiza constantemente.","N/A","2014-11-04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Philosopher's Index","no","N/A","http://philindex.org/","N/A","N/A","Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Filosofía","Bibliografía actualizada sobre la investigación académica en filosofía.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Principles of Political Economy and Taxation","no","N/A","http://socserv2.socsci.mcmaster.ca/~econ/ugcm/3ll3/ricardo/prin/index.html","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Inglés","CEE","Economía","N/A","Economía ; Impuestos","Texto completo en formato html de |On The Principles of Political Economy and Taxation| de 1821.","N/A","2014-11-07","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The public administration dictionary","si","N/A","N/A","N/A","Obra de referencia","Sólo comunidad Colmex","N/A","Otros","N/A","Inglés","CEI","Administración Pública","N/A","Administración pública ; Diccionarios","[By] Chandler, Ralph C.... [and] Jack C. Plano -- Santa Barbara, Calif. : ABC-CLIO, [c1988].","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Religious Research Association","no","N/A","http://www.rraweb.org/","N/A","Sitio Web","Parcialmente Abierto","N/A","Otros","N/A","Inglés","CES","Religión","N/A","Religión y cultura -- Religión y sociología","El RRA difunde la investigación en torno a la religión en diversos temas y enfoques incluye: los nuevos movimientos religiosos, la dinámica de crecimiento de la denominación y de la congregación, los cambios individuales y organizacionales en las creencias y prácticas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
