Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"Chatham House Online Archive","no","N/A","https://infotrac.gale.com/itweb/colmex?db=CHOA","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","20191030","Inglés","CEI  , CEH","Sociología  , Relaciones Internacionales  , Historia  , Ciencia Política  , Administración Pública","N/A","N/A","Chatham House, también conocida como Royal Institute of International Affairs, es una organización no gubernamental con sede en Londres, fundada en 1920. Su misión es analizar y promover la comprensión de asuntos internacionales y de actualidad. El Chatham House Online Archive es un archivo en línea especializado en asuntos internacionales. Cubre más de 90 años de documentación, análisis e investigación de tendencias globales y eventos claves de la política internacional. Un componente notable del archivo son las conferencias dictadas en Chatham House por expertos en asuntos internacionales de 1920 en adelante. Dichas conferencias están disponibles en grabaciones de audio con sus respectivas transcripciones.

La cobertura temática del archivo incluye dos módulos. El primer módulo (1920-1979) cubre desde la conferencia de paz en Paris en 1919, hasta la caída de Shah de Irán en 1979, pasando por la Segunda Guerra Mundial, la Guerra Fría y la crisis de Suez. El segundo módulo (1980-2008) cubre la integración europea, la caída del muro de Berlín, el fin de los regímenes comunistas en el este de Europa, el conflicto en Medio Oriente, el fin del Apartheid en Sudáfrica, la expansión de la globalización y las preocupaciones respecto al cambio climático.","N/A","2019-10-30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"68","no","si","http://68.colmex.mx/","N/A","Base de Datos","Abierto","N/A","El Colegio de México","N/A","Español","CES  , BIBLIOTECA","Ciencia Política","N/A","N/A","En 1968 María de los Ángeles Knochenhauer transcribió con una máquina de escribir 597 documentos, indispensables para quienes desean ir a las fuentes primarias. En el 2015 autorizó a la Biblioteca Daniel de El Colegio de México para digitalizar y ordenar los documentos con diferentes criterios: título, descripción, autor, fechas, etcétera.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"A dictionary of modern politics","si","N/A","N/A","N/A","Obra de referencia","Falta determinar","N/A","Otros","N/A","Inglés","CEI","Ciencia Política","N/A","Política ; Diccionarios","London : Europa Publications2002 x, 515 p. ; 24 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"A Discourse Upon The Origin and The Foundation Of The Inequality Among Mankind","no","N/A","http://www.fordham.edu/halsall/mod/1782rousseau-inequal.asp","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Inglés","CEI","Ciencia Política  , Filosofía","N/A","Igualdad ; Filosofía","Texto completo en formato html del  |Discurso sobre el origen y los fundamentos de la desigualdad entre los hombres| de Jean-Jacques Rousseau. El texto es parte de Internet Ancient History Sourcebook, Fordham University.","N/A","2014-11-06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"A pocket guide to writing in history","si","N/A","http://200.52.255.191/F/?func=find-b&request=pocket+guide+to+writing+in+history&find_code=WTI&adjacent=Y&x=34&y=7&filter_code_1=WLN&filter_request_1=&filter_code_2=WYR&filter_request_2=&filter_code_4=WFT&filter_request_4=&filter_code_3=WYR&filter_request_","N/A","N/A","Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Redacción ; Estilos bibliográficos ; Historiografía ; Manuales","Ofrece lineamientos y sugerencias para la redacción de textos académicos y otros documentos de investigación para estudiantes de historia. Ofrece múltiples ejemplos además de una guía de sitios de interés en Internet. Incluye índice analítico.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ABC del género en la administración pública","no","N/A","http://ciudadessegurasparalasmujeres.org.mx/2016/documentos/ABCAdminPublica.pdf","N/A","Obra de referencia","Abierto","N/A","Otros","N/A","Español","PIEM","Estudios de Género","N/A","Administración pública -- glosarios","Se ogrece un recurso metodológico para las personas interesadas en conocer los alcances de la perspectiva de género y aplicación en el diseño de políticas públicas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academia Mexicana de Ciencias: Publicaciones ambientales","no","N/A","http://www.amc.edu.mx/p5/index.php?option=com_content&view=article&id=68&Itemid=86","N/A","Sitio Web","Abierto","N/A","Otros","2013-00-00","Español","CEDUA","Estudios Urbanos   , Medio Ambiente","N/A","Medio ambiente ; Ciencia ; Agua ; Desarrollo sostenible","La Academia Mexicana de Ciencias ofrece un portal de libros electrónicos en formato PDF para divulgación de los materiales de los miembros que conforman la Academia. Contiene libros de divulgación científica y temas asociados a las ciencias y disciplinas como biología, estadística, población, medio ambiente entre otros. Cuenta con una plataforma en la que se enlistan los materiales y también es posible acceder al texto completo de las revistas de la asociación.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academia Mexicana de Estudios de Género de los Hombres A.C.","no","N/A","http://www.amegh.mx/index.html","N/A","Sitio Web","Abierto","N/A","Otros","2016","Español","PIEM","Estudios de Género","N/A","Masculinidad ; Estudios de Género","Es un sitio que compila recursos de masculinidad por académicos de la Universidad Autónoma de la Ciudad de México","N/A","2016-12-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academia Mexicana de la Historia","no","N/A","http://www.acadmexhistoria.org.mx/","N/A","N/A","Abierto","N/A","Otros","2014-00-00","N/A","N/A","N/A","N/A","Historia ; México ; Asociaciones de profesionales","Sitio web de la Academia Mexicana de la Historia en el que se encuentran documentos sobre su historia, publicaciones y fotografías.   Además de información sobre sus miembros, así como sus discursos de ingreso.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academia Mexicana de la Lengua","no","N/A","http://www.academia.org.mx/index2.php","N/A","Obra de referencia  , Libro electrónico","Abierto","N/A","Academia Mexicana de la Lengua","2014-00-00","Español","CELL","Lingüística","N/A","Lingüística ; Asociaciones de profesionales","Brinda información sobre su historia, miembros, estructura. Ofrece diccionarios, refranero mexicano, español inmediato, entre otros.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academic OneFile","no","N/A","http://infotrac.galegroup.com/itweb/colmex?db=AONE","N/A","Base de Datos  , Periódico  , Publicación periódica","Sólo comunidad Colmex","N/A","Academic OneFile","2014-02-28","Español  , Inglés","CEAA  , BIBLIOTECA  , CEDUA  , CEE  , CEH  , CEI  , CELL  , CES  , General  , PIEM","General (todos los centros)","N/A","Bases de datos","Recurso contratado por el Consorcio Nacional. Base de datos multidisciplinaria. Contiene referencias y texto completo de revistas y periódicos nacionales e internacionales.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Academic Search Complete","no","N/A","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=a9h","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","2014-02-28","Inglés","PIEM  , CES  , CELL  , CEI  , CEH  , CEE  , CEDUA  , CEAA  , BIBLIOTECA","General (todos los centros)","N/A","Bases de datos","Base de datos multidisciplinaria que contiene referencias y texto completos de diversas revistas de alto impacto mundial","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ACE: Architecture, City and Environment","no","N/A","http://upcommons.upc.edu/revistes/handle/2099/1822","N/A","Publicación periódica","Abierto","N/A","Universidad Politécnica de Cataluña","2014-00-00","Español","CEDUA","Medio Ambiente  , Estudios Urbanos","N/A","Urbanismo ; Arquitectura","Revista en formato electrónico, impulsada por la red internacional “Ciudad, Territorio y Entorno” y editada por el Centro de Política de Suelo y Valoraciones (CPSV) de la Universidad Politécnica de Cataluña. Pretende servir como herramienta de difusión de la Red Temática Ecología y Ciudad. Dirigida a un público pluridisciplinar: arquitectos, ingenieros, geógrafos, economistas, sociólogos, ambientólogos, y en general a expertos urbanos e inmobiliarios","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Académica : innovación digital de conocimiento","no","N/A","http://biblioteca.colmex.mx/index.php/recurso","N/A","Sitio Web","Abierto","N/A","Otros","2014-00-00","Español","CEDUA  , CEE  , CEH  , CEI  , CELL  , CES  , PIEM","Administración Pública  , Ciencia Política  , Demografía    , Economía   , Estudios de Género  , Estudios Urbanos   , Filosofía  , Historia  , Lingüística  , Relaciones Internacionales  , Sociología","N/A","Recursos en internet ; Bases de datos","Académica es una Comunidad Digital de Conocimiento fundamentalmente creada para promover la generación e intercambio de saberes de diversas áreas; es una iniciativa que surge de la inminente necesidad de abrir espacios virtuales de enseñanza y aprendizaje que contribuyan al desarrollo y formación de los individuos.

Además de ser una Comunidad de colaboración en español, de acceso libre y gratuito para todo aquel que quiera registrarse, es, al tiempo, una vasta Red de Instituciones de Educación Superior a nivel nacional y con presencia en América Latina, cuyo fin es la vinculación y el trabajo en conjunto a favor de la educación.

Académica, la Comunidad Digital de Conocimiento en español, cuenta con recursos digitales e interactivos para contribuir a la formación educativa de los usuarios y busca impulsar la apropiación de las nuevas Tecnologías de la Información por parte de sus usuarios.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Acervo Digital Anotado de Literatura Argentina","no","N/A","http://adala.fahce.unlp.edu.ar/library","N/A","Sitio Web","Abierto","N/A","Biblioteca Nacional de Argentina","N/A","Español","CELL","Literatura","N/A","Literatura argentina","|Forma parte de los recursos de la Biblioteca Digital Trapalanda de la Biblioteca Nacional Argentina. Aquí encontramos una selección representativa de la literatura nacional de los últimos doscientos años|. Ofrece cuatro apartados: acervo completo, recobradas, clásicas y contemporáneas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Acervo Digital de Lenguas Indígenas","no","N/A","http://lenguasindigenas.mx/zapoteco.htmll","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Español","CELL","Lingüística","N/A","Indios -- lenguas","|Produce materiales que permitan acopiar, resguardar y sistematizar datos de lenguas indígenas de México. Ofrece información de las siguientes lenguas: maya, náhuatl, mixteco, mazateco, entre otros.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Acervos digitales : Universidad de las Américas – Puebla","no","N/A","http://catarina.udlap.mx/u_dl_a/acervos/","N/A","Libro electrónico","Abierto","N/A","Otros","2015-00-00","Español  , Inglés","CEH  , CELL","Historia  , Lingüística  , Literatura","N/A","Bibliotecas digitales ; Colecciones ; Universidad de las Américas - Puebla","Ofrece acceso a más de 5000 libros y documentos en texto completo agrupados de la siguiente manera: Archivo Miguel Covarrubias, Colección Juan de Palafox y Mendoza, Colección del Mexico City College, Libros (Fondo antiguo, Histórico y Moderno), Telegramas de Porfirio Díaz, 1910 y Biblioteca Franciscana. Libros (Fondo antiguo).","N/A","2014-10-29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ACLS Humanities E-book","no","N/A","http://www.humanitiesebook.org/","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","N/A","Inglés","CEH  , CEI  , CELL  , CES","Administración Pública  , Artes  , Ciencia Política  , Filosofía  , Historia  , Lingüística  , Literatura  , Relaciones Internacionales  , Religión  , Sociología","N/A","Humanidades ; Libros electrónicos","Dispone de 4,300 libros electrónicos en Humanidades. Cubre estudios históricos y de área de: África, América, Asia, economía, medio ambiente, estudios de la mujer, estudios bibliográficos, lingüística, literatura, crítica literaria, filosofía, ciencia política, religión, sociología, entre otros. Incluye índices de título, autor y tema.","N/A","2014-10-24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Acta asiática","si","N/A","http://www.tohogakkai.com/actaback-new.html","N/A","Publicación periódica","Sólo comunidad Colmex","N/A","Otros","2013-00-00","Inglés","CEAA","Artes  , Historia  , Relaciones Internacionales  , Religión","N/A","Asia ; Revistas","Revista especializada en temas de historia de Asia.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Acta Politica","no","N/A","https://link.springer.com/journal/41269","N/A","Publicación periódica","Sólo comunidad Colmex","N/A","Springer","N/A","Inglés","CEI","Ciencia Política","N/A","N/A","Es una de las pocas revistas en ciencias políticas internacionales con un amplio alcance a través de la disciplina. Siendo la revista oficial de la Asociación Holandesa de Ciencias Políticas abarca sub áreas como la política comparativa, así como las relaciones internacionales, la teoría política, la administración pública y la comunicación política.","N/A","2018-11-09","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Acta sociológica","si","N/A","http://asj.sagepub.com/content/by/year","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2014-00-00","N/A","N/A","N/A","N/A","Sociología","Acta Sociológica es un foro plural abierto a  la difusión, al debate y a la discusión de una amplia gama de problemáticas abordadas desde distintos enfoques teórico-metodológicos. Dirigida al estudio de área de la sociología, está abierta a las ciencias sociales en general. Publica artículos y ensayos que resultan de los avances de la investigación.
Impresa de 1987 a la fecha.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Africa is a Country","no","N/A","http://africasacountry.com/","N/A","Blog","Abierto","N/A","Otros","2015-06-30","Inglés","CEAA","Noticias  , Historia  , Sociología","N/A","África ; Blogs ; Sociedad","Blog fundado por Sean Jacobs y |desarrollado por diversos personajes como investigadores, escritores, artistas, directores de cine, |blogeros|, etc,| El Blog contiene principalmente noticias sobre el mundo social, cultural y político de África. Incluye además de las noticias recientes, fotografías y videos, forma de contacto para contribuir al blog.","N/A","2015-06-30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Africa Portal","no","N/A","https://www.africaportal.org/","N/A","Sitio Web","Abierto","N/A","Otros","2015--00--0","Inglés","CEAA","Ciencia Política  , Historia  , Relaciones Internacionales","N/A","África ; Aspectos sociales ; Siglo XXI","Página especializada en recursos de información sobre África. Contiene una biblioteca digital con |más de  5000 documentos| digitales entre los que incluye informes de investigación, política, economía y sociedad. Todos los documentos están accesibles en texto completo. Incluye un directorio muy completo de expertos en diversas áreas de estudio e investigación del área. Incluye también un buscador de búsqueda. La página se actualiza constantemente.","N/A","2015-04-24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Africa Resources","no","N/A","http://education.nationalgeographic.com/education/encyclopedia/africa-resources/?ar_a=1","N/A","Sitio Web  , Obra de referencia","Abierto","N/A","Otros","2014-00-00","Inglés","CEAA","Medio Ambiente","N/A","África ; Educación ; Medio ambiente","Sitio del National Geographic dedicado al tema de educación. Reúne recursos educativos y sobre medio ambiente del continente africano. Incluye enciclopedia con entradas de en orden alfabético.","N/A","2014-10-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Africa South of the Sahara: selected internet resources","no","N/A","http://www-sul.stanford.edu/depts/ssrg/africa/guide.html","N/A","N/A","Abierto","N/A","Leland Stanford Junior University","2012-00-00","N/A","N/A","N/A","N/A","África ; Sahara ; Historia ; Recursos internet","Excelente compilación de recursos seleccionados de la Internet. De la Leland Stanford Junior University, este sitio está preparado por Karen Fung  para el Information and Communication Technology Group (ICTG), African Studies Association, USA. Contiene información por país, por tema y también por sitios especializados para África.","N/A","2014-10-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Africa update","no","N/A","http://web.ccsu.edu/afstudy/archive.html","N/A","N/A","Abierto","N/A","Otros","2014-02-20","N/A","N/A","N/A","N/A","África ; Revistas","Revista sobre temas de relaciones internacionales y sociología enfocados en África","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"African American and African studies","no","N/A","https://www.msu.edu/~aaas/index.html","N/A","Sitio Web","Abierto","N/A","Michigan Stante University","2013-00-00","Inglés","CEAA","Relaciones Internacionales","N/A","África ; Estados Unidos ; Afroamericanos ; Negros","Sitio web de la Universidad de Michigan que compila información sobre estudios de Africa en Estados Unidos y todos los temas relacionados con la cultura negra del continente.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"African Centre for Women, Information and Communications Technology (ACWICT)","no","N/A","http://acwict.org/","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Inglés","CES","Estudios de Género","N/A","Tecnología de información y mujeres","Es una organización que promueve el uso de las tecnologías de información entre las mujeres a partir del conocimiento de herramientas que pueda utilizar para el desarrollo económico y político.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"African communist","no","N/A","http://www.sacp.org.za/list.php?type=African%20Communist&year=2009","N/A","N/A","Abierto","N/A","South Africa Communist Party","2013-00-00","N/A","N/A","N/A","N/A","África ; Ciencia política ; Partidos políticos ; Comunismo","African Communist |se publica trimestralmente por el Partido Comunista de Sudáfrica como un foro para el pensamiento marxista-leninista.| Publicación trimestral, el sitio permite la consulta de los títulos en texto completo, de los años 1959, 1962, 1995-2013. En la Biblioteca Daniel Cosío Villegas de El Colegio de México se puede consultar la versión impresa de los años 1991-2011.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"African languages at Michigan State University","no","N/A","http://africa.isp.msu.edu/afrlang/","N/A","Sitio Web","Abierto","N/A","Michigan Stante University","2010-00-00","Inglés","CEAA","Lenguaje y Lenguas (Estudio y enseñanza)","N/A","África ; Lenguas africanas","Sitio web con recursos de información para el aprendizaje de los idiomas predominantes en África.","N/A","2014-10-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"African newspapers, magazines and news sites in english","no","N/A","http://www.world-newspapers.com/africa.html","N/A","Periódico","Abierto","N/A","World Newspapers","2013-00-00","Inglés","CEAA","Noticias","N/A","África ; Periódicos","Contiene enlaces a los diarios de todos los países africanos. Incluye vínculos de noticias diarias e información de cultura y entretenimiento.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"African studies quarterly : the online journal of african studies","no","N/A","http://www.africa.ufl.edu/asq/","N/A","N/A","Abierto","N/A","Otros","2013-11-00","N/A","N/A","N/A","N/A","Africa ; Revistas","Revista especializada en asuntos de África. Desarrolla temáticas en administración publica y ciencia política en la región. Desarrollada por la Universidad de Florida.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"African studies review","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=afristudrevi","N/A","Sitio Web","Sólo comunidad Colmex","N/A","Otros","2012-00-00","Inglés","CEAA","Relaciones Internacionales","N/A","África ; Revistas","Revista multidisciplinaria enfocada en asuntos de África. Contiene artículos de revisión y reseñas de libros de importantes editoriales enfocadas en el estudio de África.  Publica investigaciones originales y análisis de África y libro revisa tres veces al año. Anima a los debates académicos en todas las disciplinas. La edición del African Studies Review está apoyado por Five Colleges, Inc., un consorcio representante de Amherst College, Hampshire College, Mount Holyoke College, Smith College, y la Universidad de Massachusetts.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"African Women's Development and Communications Network [FEMNET]","no","N/A","http://www.peacewomen.org/portal_organizations_organization.php?id=172","N/A","N/A","Abierto","N/A","PeaceWomen.org","2014-00-00","N/A","N/A","N/A","N/A","África ; Mujeres ; Organismos no gubernamentales","Sitio Web de organismos no gubernamentales especializados en África y el tema africano, especialmente en asuntos de la Mujer.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AfricanFiles","no","N/A","http://africafiles.org/","N/A","Sitio Web","Abierto","N/A","Otros","2014-00-00","Inglés","CEAA","Historia  , Filosofía  , Demografía    , Ciencia Política  , Relaciones Internacionales  , Religión  , Sociología","N/A","África ; Cultura","Recursos de información especializados en África y sus diferentes regiones. Contiene recursos especializados por país y por temas. Incluye listado de archivos en formatos html y pdf. La página es alimentada por investigadores voluntarios de diferentes especialidades: historiadores, traductores, economistas.","N/A","2014-10-15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AgEcon Search : research in agricultural and applied economics","no","N/A","http://ageconsearch.umn.edu/","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEE","Economía","N/A","Agricultura ; Economía ; Economía política","Recurso de la Universidad de Minnesota en cual compila información en diversos formatos sobre agricultura, economía, agronegocios, desarrollo económico, entre otras áreas alrededor de la agricultura a nivel mundial. Contiene artículos de revistas, reportes técnicos, carteles, material gráfico entre otros.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Agencia de la ONU para los Refugiados","no","N/A","http://www.acnur.org/t3/","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Español","CEI","Relaciones Internacionales","N/A","Agencia de la ONU para los Refugiados ; Refugiados","N/A","N/A","2015-05-19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ager: revista de estudios sobre despoblación y desarrollo rural","no","N/A","http://www.ceddar.org/ceddar_publicaciones.php","N/A","Publicación periódica","Abierto","N/A","No Aplica","2013-00-00","Español","CEDUA","Demografía","N/A","Población rural ; Desarrollo rural ; Medio ambiente","Revista electrónica desarrollada por el CEDDAR en la que se tocan temas sobre desarrollo rural y agrícola, población y migración.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Agricultura y desarrollo rural","no","N/A","http://datos.bancomundial.org/tema/agricultura-y-desarrollo-rural","N/A","Sitio Web","Abierto","N/A","Banco Mundial","2015-00-00","Español  , Inglés","CEE","Economía","N/A","Agricultura ; Desarrollo agrícola ; Economía","Portal de datos estadísticos sobre desarrollo rural en diferentes regiones, enfocándose principalmente en regiones pobres y en vías de desarrollo. En el sitio se pueden consultar datos estadísticos, crear mapas, conocer microdatos y buscar diferentes indicadores.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Agricultural Policy Monitoring and Evaluation 2012. OECD Countries","no","N/A","http://www.oecd-ilibrary.org/search;jsessionid=8sggqhn5sdt95.x-oecd-live-01?option1=titleAbstract&option2=&value2=&option3=&value3=&option4=&value4=&option5=&value5=&option6=&value6=&option7=&value7=&option8=&value8=&option9=&value9=&option10=&value10=&op","N/A","N/A","Sólo comunidad Colmex","N/A","Organisation for Economic Cooperation and Development (OECD)","2012-09-12","N/A","N/A","N/A","N/A","Agricultura ; Política agrícola ;  Países de la OCDE","Obra sobre políticas agricolas","N/A","2014-06-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ALA guide to economics and business reference","no","N/A","http://www.alastore.ala.org/detail.aspx?ID=2764","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2011-00-00","N/A","N/A","N/A","N/A","Economía ; Obras de referencia","American Library Association.  Chicag, Ill.: American Library Association, 2011.  xv, 505 p. ; 23 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Alexander Von Humbolt Foundation","no","N/A","http://www.humboldt-foundation.de/web/home.html","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Alemán  , Inglés","CEI","Relaciones Internacionales","N/A","Financiamiento","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ali, Sheikh Rustum.   The international organizations and world order dictionary","si","N/A","N/A","N/A","Obra de referencia","Abierto","N/A","Otros","2012-00-00","Inglés","CEI","Relaciones Internacionales","N/A","Relaciones internacionales ; Medio oriente ; Directorios","Santa Barbara, Calif.ABC-Clio1992 xvi, 283 p. ; 24 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Alif : Journal of Comparative Poetics","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=alifjcomppoet","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2010-00-00","N/A","N/A","N/A","N/A","Lenguaje ; Literatura ; Medio Oriente","Disponibel en formato impreso: 1998-2013. 
Alif es una revista arbitrada multilingüe la cual aparece anualmente en la primavera. Presenta artículos académicos en árabe, inglés y ocasionalmente en francés. Cada número está dedicado a un tema específico. Su carácter multidisciplinar permite diferentes tradiciones y lenguas que se enfrentan y se complementan entre sí en sus páginas. Cada número incluye y da la bienvenida a artículos académicos originales. Alif no publica reseñas de libros o la escritura creativa.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"All Africa.com","no","N/A","http://allafrica.com/","N/A","Sitio Web","Abierto","N/A","Organismo Independiente","2014-00-00","Francés  , Inglés","CEAA","Relaciones Internacionales  , Ciencia Política","N/A","África ; Cultura ; Sociedad","Producida por una compañía familiar que “agrega, produce y distribuye novedades sobre África” Incluye información en inglés y francés. Es un sitio que da acceso a cerca de 900,000 artículos, presenta novedades económicas, culturales, políticas, incluye accesos a información reciente pero también retrospectiva.","N/A","2014-10-15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Alma Mater","no","N/A","https://almamater.sib.uc.pt/es/content/alma_mater","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Español  , Inglés  , Portugués","CEH","Historia","N/A","Universidad de Coímbra ; Libros ; Bibliotecas","Biblioteca Digital del Fondo Antiguo de la Universidad de Coímbra, incluye: libros antiguos, manuscritos, cartas, fotografías y dibujos. Todas las obras fueron publicadas antes de 1940.","N/A","2015-12-16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ALTA newsletter","si","N/A","N/A","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2009-00-00","N/A","N/A","N/A","N/A","Revistas ; Traducción ; Traductores","Disponible en formato impreso: 1992-2009","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Amado Nervo: lecturas de una obra en el tiempo","no","N/A","http://www.amadonervo.net/","N/A","Sitio Web","Abierto","N/A","Universidad Nacional Autónoma de México","N/A","Español","CELL","Literatura","N/A","Nervo, Amado 1870-1919","Se ofrecen crónicas, cuentos, novela, epístola y crítica de Amado Nervo. Incluye índice de autores y de textos sobre Amado Nervo.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ambiente e Sociedade","no","N/A","http://www.scielo.br/scielo.php?script=sci_serial&pid=1414-753X&lng=es&nrm=iso","N/A","N/A","Abierto","N/A","Associação Nacional de Pós-Graduação e Pesquisa em Ambiente e Sociedade- ANPPAS","2014-00-00","N/A","N/A","N/A","N/A","Medio ambiente ; Ciencias medioambientales","Ambiente & Sociedade es una publicación cuatrimestral de la Associação Nacional de Pós-Graduação e Pesquisa em Ambiente e Sociedade (ANPPAS), que busca contribuir con la institucionalización de la área de conocimiento producida em la interfaz entre las cuestiones del Ambiente y la Sociedad, con enfoque interdisciplinar.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AMDOCS : documents for the study of American history","no","N/A","http://www.vlib.us/amdocs/","N/A","N/A","Abierto","N/A","Otros","2010-00-00","N/A","N/A","N/A","N/A","Estados Unidos ; Historia ; América del Norte","Proporciona acceso a los documentos de fuentes primarias que son relevantes para el estudio de la historia de los Estados Unidos.  Se presentan en orden cronológico y se dividen por periodos presidenciales.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Asian review: an international journal on modern and contemporary Asia","si","N/A","N/A","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2003-00-00","N/A","N/A","N/A","N/A","Asia Oriental ; Estados Unidos","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
