"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"CLASE. Citas Latinoamericanas en Ciencias Sociales y Humanidades","Abierto","Referencia","Bibliografía","IND/016.301/C614 Más información"
"Cognitive Linguistics","Cerrado","Parcial","Revistas","410.5/C676 Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
"Comparative Literature","Cerrado","Parcial","Revistas","805/C7364 Más información"
"Compludoc  base de datos de artículos de revistas","Abierto","Referencia","Revistas  , Resúmenes","RE/016.05 Más información"
"Corpus de Referencia del Español Actual","Abierto","Referencia","Corpus","Más información"
"Corpus del Español","Abierto","Referencia","Corpus","Más información"
"Corpus del Español Mexicano Contemporáneo","Abierto","Referencia","Corpus","Más información"
"Corpus Diacrónico y Diatópico del Español de América","Abierto","Referencia","Corpus","Más información"
"Corpus Digital Giennense","Abierto","Completo","Corpus  , Audio","Más información"
"Corpus Excale de Escritura","Abierto","Referencia","Corpus","Más información"
"Corpus Oral de Referencia de la Lengua Española Contemporánea CORLEC","Abierto","Referencia","Corpus","Más información"
"Corpus Oral y Sonoro del Español Rural","Abierto","Referencia","Corpus","Más información"
"Crítica Hispánica","Abierto","Completo","Revistas","860.905/C934 Más información"
"Cuadernos de Literatura","Abierto","Completo","Revistas","Más información"
"Database of latin dictionaries","Cerrado","Completo","Diccionarios","Más información"
"Database of Latin Dictionaries-Online","Cerrado","Completo","Libros Electrónicos  , Diccionarios","Más información"
"De Gruyter Journal Package","Cerrado","Parcial","Artículos de Revistas","Más información"
"Diachronica International Journal for Historical Linguistics","Cerrado","Parcial","Revistas","409/D537 Más información"
"Dialnet","Abierto","Parcial","Revistas","RE/016.5 Más información"
"Diario Oficial de la Federación","Abierto","Parcial","Publicaciones Oficiales","Más información"
"Diccionario de americanismos","Abierto","Referencia","Diccionarios","Más información"
"Diccionario de Colocaciones del Español","Abierto","Referencia","Diccionarios","Más información"
"Diccionario del Español Coloquial","Abierto","Referencia","Diccionarios","Más información"
"Diccionario del Español de México (DEM)","Abierto","Parcial","Libros Electrónicos  , Diccionarios","REF/467.972/D5455 Más información"
"Diccionario literario","Abierto","Referencia","Diccionarios","Más información"
"Diccionario panhispánico de dudas","Abierto","Referencia","Diccionarios","REF/463 / D5459 Más información"
"Dicenda : cuadernos de Filología Hispánica","Abierto","Completo","Artículos de Revistas","461.7 / D546 Más información"
"Dictionary of word origins","Abierto","Completo","Diccionarios","REF/422.03/S5572d/1945  Más información"
"Dieciocho Hispanic Enlightenment","Abierto","Parcial","Revistas","860.5/D559 Más información"
"DIRAE","Abierto","Referencia","Diccionarios","Más información"
"Dirección General de Bibliotecas UNAM","Cerrado","Parcial","Biblioteca Digital  , Catálogos de Bibliotecas","Más información"
"Dirección General de Divulgación de la Ciencia","Abierto","Parcial","Organizaciones de Profesionales","Más información"
"Directory of Open Access Journal","Abierto","Completo","Revistas","RE/016.05 Más información"
"Directory of Open Access Journals","Abierto","Parcial","Revistas","Más información"
"Discovering Literature : Romantics and Victorians","Abierto","Completo","Audio  , Bibliografía  , Biblioteca Digital  , V...","Más información"
"DispoLex. Investigación Léxica","Abierto","Referencia","Documentos de Trabajo","Más información"
"DSpace@MIT","Abierto","Completo","Documentos de Trabajo  , Artículos de Revistas  ...","Más información"
"E-Journal","Abierto","Completo","Artículos de Revistas","Más información"
"E-Textos Instituto de Altos Estudios Universitarios","Cerrado","Completo","Biblioteca Digital","Más información"
"Early Modern Literary Studies","Abierto","Completo","Revistas","Más información"
"EBSCO ebook Academic Collection","Cerrado","Completo","Libros Electrónicos","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"EBSCO Host Literatura","Cerrado","Parcial","Revistas  , Resúmenes  , Reseñas  , Libros Elec...","Más información"
"Ediciones de Textos Digitales","Abierto","Parcial","Revistas","Más información"
"EduDonor Index (Worldwide Directory of Grants for Educational Institutions)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"El Atlas Sintáctico del Español","Abierto","Referencia","Corpus","Más información"
"El corno emplumado: Hemispheric poetry networks. 1962-1969","Abierto","Parcial","Revistas  , Imágenes","Más información"
"El Corpus de Contextos Definitorios","Abierto","Referencia","Corpus","Más información"
"El diálogo de la Lengua","Abierto","Completo","Libros Electrónicos  , Diccionarios","Más información"
"El Español en el mundo","Abierto","Completo","Libros Electrónicos","460.5 /E772 Más información"
"El Grial","Abierto","Referencia","Corpus","Más información"
"El Habla de la Ciudad de México","Abierto","Completo","Documentos de Trabajo  , Audio","Más información"
"El País","Abierto","Parcial","Periódicos","Más información"
"El Poder de la Palabra","Abierto","Parcial","Biografías  , Bibliografía","Más información"
"El Sol de México","Abierto","Parcial","Periódicos","Más información"
"El surrealismo y sus derivas","Abierto","Completo","Artículos de Revistas  , Revistas","Más información"
"El Universal","Abierto","Parcial","Periódicos","Más información"
"Electronic Collection Online","Cerrado","Referencia","Revistas","Más información"
"Emerald","Cerrado","Parcial","Revistas","RE/016.65 Más información"
"Enciclopedia de la Literatura en México","Abierto","Parcial","Biografías  , Libros Electrónicos  , Audio","Más información"
"Encyclopedia of Language and Linguistics","Cerrado","Completo","Enciclopedias","Más información"
"Erudit","Abierto","Completo","Biblioteca Digital","Más información"
"ESRC Economic and Social Research Council","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Estudios de Fonética Experimental","Cerrado","Completo","Revistas","461.505/E826 Más información"
"Estudios de Lingüística Aplicada","Cerrado","Parcial","Revistas  , Resúmenes","410.5/E79 Más información"
"Ethnomusicology","Cerrado","Completo","Revistas","781.705/E81 Más información"
