"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Red de bibliotecas virtuales de ciencias sociales de América Latina y el Caribe (CLACSO)","Abierto","Completo","Biblioteca Digital","Más información"
"Redalyc  Red de revistas científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Reforma","Abierto","Parcial","Periódicos","Más información"
"Reproductive Health Matters.  The abortion papers [disco compacto]","Cerrado","Completo","Documentos de Trabajo","DC/2018 Más información"
"Research online","Abierto","Completo","Recursos Archivísticos  , Imágenes  , Documento...","Más información"
"Revista de Antropología del Cuerpo","Abierto","Completo","Artículos de Revistas","Más información"
"Revista de Estudios de Antropología Sexual","Abierto","Completo","Revistas","Más información"
"Revistas de El Colegio de México","Cerrado","Completo","Revistas","Más información"
"Roper Center","Cerrado","Parcial","Recursos Archivísticos  , Estadísticas","Más información"
"SAGE Journals","Cerrado","Completo","Revistas","Más información"
"Sage Research Methods Online (SRMO)","Cerrado","Parcial","Documentos de Trabajo  , Artículos de Revistas","Más información"
"SciELO  Scientific electronic library online","Cerrado","Parcial","Revistas","Más información"
"ScienceDirect","Cerrado","Parcial","Revistas","Más información"
"Scopus","Cerrado","Referencia","Bibliografía","Más información"
"SERIUNAM","Abierto","Referencia","Revistas","Más información"
"Social Politics International Studies in Gender, State and Society","Cerrado","Completo","Revistas","396.05 S678 Más información"
"Social Sciences Full Text (H.W. Wilson)","Cerrado","Parcial","Revistas","Más información"
"Social services abstracts","Cerrado","Parcial","Revistas","RE/016.361 Más información"
"Sociology  a SAGE full-text collection","Cerrado","Completo","Revistas","Más información"
"Springer eBooks (Recurso contratado por CONRICyT)","Cerrado","Completo","Libros Electrónicos","Más información"
"Springer Link","Cerrado","Completo","Libros Electrónicos  , Revistas","Más información"
"SpringerLink journals (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
"Tablas de contenido y revistas en texto completo","Cerrado","Parcial","Revistas","Más información"
"Taylor & Francis (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
"Tesauro del UNBIS","Abierto","Completo","Corpus","Más información"
"Tesis COLMEX","Abierto","Completo","Biblioteca Digital","Más información"
"Testimonios de mujeres indígenas en contextos migratorios: liderazgos e identidades colectivas y de género.","Abierto","Completo","Libros Electrónicos","Más información"
"The Online Books Page","Cerrado","Parcial","Biblioteca Digital","Más información"
"Trabajo decente e igualdad de género: políticas para mejorar el acceso y calidad del empleo de las mujeres en América Latina y el caribe","Abierto","Completo","Documentos de Trabajo","Más información"
"UNdata","Abierto","Completo","Información Geográfica  , Estadísticas","Más información"
"Unparalleled Leadership and Impact","Abierto","Parcial","Documentos de Trabajo","Más información"
"Vida sin violencia","Abierto","Parcial","Publicaciones Oficiales","Más información"
"Washington Post, The","Abierto","Parcial","Periódicos","Más información"
"Web of science","Cerrado","Referencia","Revistas  , Reseñas","Más información"
"Wiley InterScience","Cerrado","Completo","Revistas  , Reseñas","Más información"
"Wiley Online Library","Cerrado","Completo","Reseñas","Más información"
"WISTAT women's indicators and statistics database [disco compacto]","Cerrado","Completo","Estadísticas","DC/413 Más información"
"Women's Global Network for Reproductive Rights","Abierto","Referencia","Reseñas  , Resúmenes","Más información"
"Worldcat","Cerrado","Parcial","Catálogos de Bibliotecas","Más información"
