Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"	Chatham House Online Archive ","no","N/A","https://infotrac.gale.com/itweb/colmex?db=CHOA","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","20191030","Inglés","CEI  , CEH","Sociología  , Relaciones Internacionales  , Historia  , Ciencia Política  , Administración Pública","N/A","N/A","Chatham House, también conocida como Royal Institute of International Affairs, es una organización no gubernamental con sede en Londres, fundada en 1920. Su misión es analizar y promover la comprensión de asuntos internacionales y de actualidad. El Chatham House Online Archive es un archivo en línea especializado en asuntos internacionales. Cubre más de 90 años de documentación, análisis e investigación de tendencias globales y eventos claves de la política internacional. Un componente notable del archivo son las conferencias dictadas en Chatham House por expertos en asuntos internacionales de 1920 en adelante. Dichas conferencias están disponibles en grabaciones de audio con sus respectivas transcripciones.

La cobertura temática del archivo incluye dos módulos. El primer módulo (1920-1979) cubre desde la conferencia de paz en Paris en 1919, hasta la caída de Shah de Irán en 1979, pasando por la Segunda Guerra Mundial, la Guerra Fría y la crisis de Suez. El segundo módulo (1980-2008) cubre la integración europea, la caída del muro de Berlín, el fin de los regímenes comunistas en el este de Europa, el conflicto en Medio Oriente, el fin del Apartheid en Sudáfrica, la expansión de la globalización y las preocupaciones respecto al cambio climático. 
","N/A","2019-10-30 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"68 ","no","si","http://68.colmex.mx/","N/A","Base de Datos","Abierto","N/A","El Colegio de México","N/A","Español","CES  , BIBLIOTECA","Ciencia Política","N/A","N/A","En 1968 María de los Ángeles Knochenhauer transcribió con una máquina de escribir 597 documentos, indispensables para quienes desean ir a las fuentes primarias. En el 2015 autorizó a la Biblioteca Daniel de El Colegio de México para digitalizar y ordenar los documentos con diferentes criterios: título, descripción, autor, fechas, etcétera.","N/A","0000-00-00 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"A dictionary of modern politics","si","N/A","N/A","N/A","Obra de referencia","Falta determinar","N/A","Otros","N/A","Inglés","CEI","Ciencia Política","N/A","Política ; Diccionarios","London : Europa Publications2002 x, 515 p. ; 24 cm.","N/A","0000-00-00 ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
