"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Centro de Estudios Espinosa Yglesia","Abierto","Parcial","Centro de Investigación  , Documentos de Trabajo...","Más información"
"Centro de Estudios Latinoamericanos : Economía Latinoamericana","Abierto","No Aplica","Estadísticas","Más información"
"Centro de Estudios Políticos, Económicos y Sociales","Cerrado","Parcial","Documentos de Trabajo  , Libros Electrónicos  , ...","Más información"
"Centro de Investigación y Docencia Económicas (CIDE). Documentos de trabajo","Abierto","Completo","Documentos de Trabajo","Más información"
"Centro Latinoamericano para el Desarrollo Rural","Abierto","Completo","Documentos de Trabajo  , Libros Electrónicos","Más información"
"CEPALSTAT","Abierto","Parcial","Publicaciones Oficiales  , Estadísticas","Más información"
"Cheap talk","Abierto","Completo","Reportes Técnicos  , Reseñas","Más información"
"China and world economy","Abierto","Completo","Revistas","Más información"
"Choice reviews online","Cerrado","Completo","Revistas  , Reseñas","016.7805/Ch545 Más información"
"CIA world factbook","Abierto","Completo","Información Geográfica  , Mapas  , Publicacione...","Más información"
"Colección Digital UANL","Abierto","Completo","Imágenes  , Fuentes Primarias  , Biblioteca Digi...","Más información"
"Comisión Económica para América Latina y El Caribe (CEPAL). Publicaciones","Abierto","Parcial","Publicaciones Oficiales  , Biblioteca Digital","Más información"
"Communications of the IBIMA","Abierto","Completo","Revistas","Más información"
"Compludoc  base de datos de artículos de revistas","Abierto","Referencia","Revistas  , Resúmenes","RE/016.05 Más información"
"Conferencia de las Naciones Unidas sobre Comercio y Desarrollo","Abierto","Completo","Documentos de Trabajo  , Estadísticas  , Libros ...","Más información"
"Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL)","Abierto","Parcial","Documentos de Trabajo  , Estadísticas","Más información"
"Contemporary economics","Abierto","Completo","Artículos de Revistas  , Revistas","Más información"
"Contribuciones a la economía","Abierto","Completo","Artículos de Revistas","Más información"
"Cuadernos de economía","Abierto","Completo","Artículos de Revistas","Más información"
"Cuadernos de la CEPAL","Abierto","Completo","Documentos de Trabajo","Más información"
"Cuadernos estadísticos CEPAL","Abierto","Completo","Publicaciones Oficiales  , Estadísticas","Más información"
"Current value of old money","Abierto","Parcial","Estadísticas  , Bibliografía","Más información"
"datos.gob.mx / Sistema de regionalización funcional de México","Abierto","Completo","Software  , Mapas  , Información Geográfica  , ...","Más información"
"Denarius : revista de economía y administración","Abierto","Completo","Revistas","Más información"
"Dialnet","Abierto","Parcial","Revistas","RE/016.5 Más información"
"Diccionario de la clase empresarial mexicana","Cerrado","No Aplica","Libros Electrónicos","REF/338.040972 / L8643d Más información"
"Directory of open access books : economics books","Abierto","Completo","Libros Electrónicos","Más información"
"Discursos de Manuel Espinosa Yglesias","Abierto","Completo","Fuentes Primarias  , Recursos Archivísticos","Más información"
"Documentos de trabajo del Centro de Estudios Económicos, El Colegio de México","Abierto","Completo","Documentos de Trabajo","Más información"
"DSpace@MIT","Abierto","Completo","Documentos de Trabajo  , Artículos de Revistas  ...","Más información"
"EBSCO Host Bases de datos","Cerrado","Parcial","Reseñas  , Recursos Bibliotecológicos  , Imáge...","Más información"
"Ecological economics","Cerrado","Completo","Revistas","301.305/E17 Más información"
"Econ academics","Abierto","Completo","Reportes Técnicos  , Reseñas  , Documentos de T...","Más información"
"EconLit with full text","Cerrado","Completo","Artículos de Revistas  , Documentos de Trabajo  ...","Más información"
"EconLog","Abierto","Completo","Reseñas","Más información"
"EconModel : classic economic models","Abierto","No Aplica","Imágenes","Más información"
"Economagic : economic time series page","Abierto","Completo","Estadísticas","Más información"
"Econometrica","Cerrado","Completo","Revistas","330.18/E19 Más información"
"Economía mexicana","Abierto","Completo","Revistas","338.972/E195 Más información"
"Economía y negocios","Cerrado","Parcial","Bibliografía","Más información"
"Economía y sociedad","Abierto","Completo","Artículos de Revistas","Más información"
"Economía, sociedad y territorio","Abierto","Completo","Revistas","304.205/E19 Más información"
"Economia: Journal of Latin American Studies","Cerrado","Completo","Revistas","Más información"
"Economic journal","Cerrado","Completo","Revistas","330.5/E194 Más información"
"Economic policy reforms","Cerrado","Completo","Libros Electrónicos","Más información"
"Economic quarterly: federal reserve bank of Richmond","Abierto","Completo","Revistas","Más información"
"Economic theory","Cerrado","Completo","Revistas","330.5/E1911 Más información"
"Economics letters","Cerrado","Completo","Revistas","330.05/E19 Más información"
"Economics roundtable","Abierto","Completo","Reportes Técnicos  , Estadísticas","Más información"
"Economics Web Institute","Abierto","Parcial","Libros Electrónicos  , Documentos de Trabajo  , ...","Más información"
"Economics, finance, mathematics, statistics","Cerrado","Parcial","Artículos de Revistas","Más información"
"Economist Intelligence Unit ViewsWire","Cerrado","Completo","Estadísticas","Más información"
"Econoquantum","Abierto","Completo","Revistas","330.19658/E1989 Más información"
"EconPapers RePEc","Abierto","Completo","Reportes Técnicos  , Documentos de Trabajo","Más información"
"Econstats : DGP industrial roduction money supply inflation US Japan China","Abierto","No Aplica","Estadísticas","Más información"
"EduDonor Index (Worldwide Directory of Grants for Educational Institutions)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EduScholarships Index  (Worldwide Directory of Scholarships for Students)","Cerrado","No Aplica","Financiamiento & Becas","Más información"
"EIU Country Data","Cerrado","Completo","Estadísticas","Más información"
"El Banco Mundial : datos","Abierto","Completo","Libros Electrónicos  , Estadísticas  , Document...","Más información"
"El Capital","Abierto","Completo","Libros Electrónicos","Más información"
"El Economista","Abierto","Parcial","Periódicos","Más información"
"El financiero","Abierto","Parcial","Periódicos","079.72/F491 Más información"
"El observador económico","Abierto","Completo","Reseñas","Más información"
"El placer de disentir. Comentarios sobre economía, política y todo lo demás","Abierto","Completo","Reseñas","Más información"
"Electronic Collection Online","Cerrado","Referencia","Revistas","Más información"
"Emerald","Cerrado","Parcial","Revistas","RE/016.65 Más información"
